"Table S7A. Combined KEGG, C2, and GO systems map  for Drosophila and Mammalian orthologues of Drosophila candidate pain genes and binding partners",,,,,,,,,,,,
KEGG/C2,Gene sets,Gene set categories,Human Gene Symbol,Mouse Gene Symbol,Human Entrez ID,Mouse Entrez ID,Human Entrez to CGID,Mouse Entrez to CGID,Drosophila CGID,Unique List of CGID,Unique List of CGID per Category,No. of genes per categeory
KEGG,Parkinson's disease ,Parkinson's disease ,,,"1345,1346,1347,27089,374291,4700,4706,4707,4719,4722,4729,498,514,7054,729317,7332,7384,7416,7417,7419,9167","100040961,11946,12864,21823,22195,22272,22273,22333,22334,22335,227197,621837,622178,66152,67126,67130,68349,70316,72900,75406","CG14028,CG9603,CG9603,CG7580,CG9172,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG3612,CG9032,CG7399,CG17137,CG5788,CG3731,CG17137,CG17137,CG17137,CG9603","CG5788,CG3612,CG14028,CG7399,CG5788,CG7580,CG3731,CG17137,CG17137,CG17137,CG2286,CG14028,CG8764,CG8764,CG9032,CG7712,CG12079,CG9160,CG5703,CG9172",,"CG14028,CG9603,CG7580,CG9172,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG3612,CG9032,CG7399,CG17137,CG5788,CG3731,CG8764","CG14028,CG9603,CG7580,CG9172,CG7712,CG9160,CG18624,CG2286,CG12079,CG5703,CG3612,CG9032,CG7399,CG17137,CG5788,CG3731,CG8764",17
C2,GSK3PATHWAY,PI3K/PTEN/PTDIN/AKT pathway,"AKT1,CCND1,NFKB1,PPP2CA,RELA,FZD1","Akt1,Ccnd1,Fzd1,Nfkb1,Ppp2ca,Rela","207,595,4790,5515,5970,8321","11651,12443,14362,18033,19052,19697","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697","CG4006,CG9096,CG17697,CG11992,CG7109,CG6667",,"CG4006,CG9096,CG11992,CG7109,CG6667,CG17697","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697,CG8203,CG13830,CG1086,CG5884,CG5711,CG31654,CG2248",13
C2,AKTPATHWAY,PI3K/PTEN/PTDIN/AKT pathway,"AKT1,NFKB1,PPP2CA,RELA","Akt1,Nfkb1,Ppp2ca,Rela","207,4790,5515,5970","11651,18033,19052,19697","CG4006,CG11992,CG7109,CG6667","CG4006,CG11992,CG7109,CG6667",,"CG4006,CG11992,CG7109,CG6667","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697,CG8203,CG13830,CG1086,CG5884,CG5711,CG31654,CG2248",13
C2,SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,PI3K/PTEN/PTDIN/AKT pathway,"AKT1,AKT2,CDK2,IGFBP1,RPS6KB1,SLC2A4,AKT3,PARD6A","Akt1,Akt2,Akt3,Cdk2,Igfbp1,Pard6a,Rps6kb1,Slc2a4","207,208,1017,3484,6198,6517,10000,50855","11651,11652,23797,12566,16006,56513,72508,20528","CG4006,CG4006,CG8203,CG13830,CG4006,CG1086,CG4006,CG5884","CG4006,CG4006,CG4006,CG8203,CG13830,CG5884,CG4006,CG1086",,"CG4006,CG8203,CG13830,CG1086,CG5884","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697,CG8203,CG13830,CG1086,CG5884,CG5711,CG31654,CG2248",13
C2,SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES,PI3K/PTEN/PTDIN/AKT pathway,"AKT1,AKT2,RPS6KB1,SAG,AKT3","Akt1,Akt2,Akt3,Rps6kb1,Sag","207,208,6198,6295,10000","11651,11652,23797,72508,20215","CG4006,CG4006,CG4006,CG5711,CG4006","CG4006,CG4006,CG4006,CG4006,CG5711",,"CG4006,CG5711","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697,CG8203,CG13830,CG1086,CG5884,CG5711,CG31654,CG2248",13
C2,PTDINSPATHWAY,PI3K/PTEN/PTDIN/AKT pathway,,"Akt1,Ap2a1,Rac1,Rps6kb1",,"11651,11771,19353,72508",,"CG4006,CG31654,CG2248,CG4006",,"CG4006,CG31654,CG2248","CG4006,CG9096,CG11992,CG7109,CG6667,CG17697,CG8203,CG13830,CG1086,CG5884,CG5711,CG31654,CG2248",13
C2,PKCPATHWAY,PKC pathway,"NFKB1,RELA","Nfkb1,Rela","4790,5970","18033,19697","CG11992,CG6667","CG11992,CG6667",,"CG11992,CG6667","CG11992,CG6667",2
C2,CDC42RACPATHWAY,RAC/Rho/CDC42,"RAC1,ARPC3,ACTR2,ARPC2","Actr2,Arpc2,Arpc3,Rac1","5879,10094,10097,10109","66713,76709,56378,19353","CG2248,CG4560,CG9901,CG10954","CG9901,CG10954,CG4560,CG2248",,"CG2248,CG4560,CG9901,CG10954","CG2248,CG4560,CG9901,CG10954,CG4006,CG9096,CG3938,CG8203,CG5072,CG11992,CG6667",11
C2,RACCYCDPATHWAY,RAC/Rho/CDC42,"AKT1,CCND1,CCNE1,CDK2,CDK4,CDK6,NFKB1,RAC1,RELA","Akt1,Ccnd1,Ccne1,Cdk2,Cdk4,Cdk6,Nfkb1,Rac1,Rela","207,595,898,1017,1019,1021,4790,5879,5970","11651,12443,12447,12566,12567,12571,18033,19353,19697","CG4006,CG9096,CG3938,CG8203,CG5072,CG5072,CG11992,CG2248,CG6667","CG4006,CG9096,CG3938,CG8203,CG5072,CG5072,CG11992,CG2248,CG6667",,"CG4006,CG9096,CG3938,CG8203,CG5072,CG11992,CG2248,CG6667","CG2248,CG4560,CG9901,CG10954,CG4006,CG9096,CG3938,CG8203,CG5072,CG11992,CG6667",11
C2,RASPATHWAY,Ras/MAPK,"AKT1,NFKB1,RAC1,RELA","Akt1,Nfkb1,Rac1,Rela","207,4790,5879,5970","11651,18033,19353,19697","CG4006,CG11992,CG2248,CG6667","CG4006,CG11992,CG2248,CG6667",,"CG4006,CG11992,CG2248,CG6667","CG4006,CG11992,CG2248,CG6667",4
GO,Golgi vesicle transport,Secretion,sec24d lman1 rab2a rer1 trappc2l sec24c cog2 gbf1 ,,"9871,3998,5862,11079,51693,9632,22796,8729",,"CG10882,CG6822,CG3269,CG11857,CG9067,CG10882,CG6177,CG8487",,,"CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,microsome,Secretion,cyp3a13 ugt8a cyp3a11 cyp4f14 cyp4f15 slc2a4 ugt2b5 fmo1 ugt1a9 fmo4 ugt2a1 acsl3 fmo2 ugt1a1 cyp4f18 cyp4a14 dnajc1 cyp3a16 cyp4f13 txnrd3 cyp4b1 cyp4a10 ugt1a6a ugt1a7c tbxas1 acsl4 fmo3 ugt2b1 cyp3a25 cyp3a41a fmo5 ,,,"13113,22239,13112,64385,106648,20528,22238,14261,394434,226564,94215,74205,55990,394436,72054,13119,13418,13114,170716,232223,13120,13117,94284,394432,21391,50790,14262,71773,56388,53973,14263",,"CG2060,CG4772,CG2060,CG2060,CG2060,CG1086,CG4772,CG3006,CG4772,CG3006,CG4772,CG8732,CG3006,CG4772,CG2060,CG2060,CG7556,CG2060,CG2060,CG2151,CG2060,CG2060,CG4772,CG4772,CG2060,CG8732,CG3006,CG4772,CG2060,CG2060,CG3006",,"CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,trans-Golgi network transport vesicle,Secretion,cltb clta slc2a4 igf2r ,,,"74325,12757,20528,16004",,"CG6948,CG6948,CG1086,CG14255",,"CG6948,CG1086,CG14255","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,protein transporter activity,Secretion,ap1m2 ap2a1 cltb stx8 ap1m1 kpna2 ap2a2 sec61g kdelr3 gabarapl2 kdelr2 clta ap1b1 ap2b1 ndufa11 ,,,"11768,11771,74325,55943,11767,16647,11772,20335,105785,93739,66913,12757,11764,71770,69875",,"CG9388,CG31654,CG6948,CG4109,CG9388,CG4799,CG31654,CG14214,CG5183,CG12334,CG5183,CG6948,CG12532,CG12532,CG9350",,"CG9388,CG31654,CG6948,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,secretory pathway,Secretion,cadps sec24d lman1 rab2a rer1 baiap3 trappc2l sec24c scrn1 cog2 gbf1 srpr trpv6 unc13d ,,"8618,9871,3998,5862,11079,8938,51693,9632,9805,22796,8729,6734,55503,201294",,"CG18026,CG10882,CG6822,CG3269,CG11857,CG32381,CG9067,CG10882,CG10098,CG6177,CG8487,CG2522,CG5842,CG32381",,,"CG18026,CG10882,CG6822,CG3269,CG11857,CG32381,CG9067,CG10098,CG6177,CG8487,CG2522,CG5842","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,cytoplasmic membrane-bounded vesicle,Secretion,ctsb cadps cltb sec24d erp29 rab2a atp6v0a1 slc32a1 taok2 nap1l1 sec24c slc2a4 spaca3 slc2a1 trpv2 clta igf2r ,,"1508,8618,1212,9871,10961,5862,535,140679,9344,4673,9632,6517,124912,6513,51393,1211,3482",,"CG10992,CG18026,CG6948,CG10882,CG7225,CG3269,CG1709,CG8394,CG14217,CG5330,CG10882,CG1086,CG1180,CG1086,CG5842,CG6948,CG14255",,,"CG10992,CG18026,CG6948,CG10882,CG7225,CG3269,CG1709,CG8394,CG14217,CG5330,CG1086,CG1180,CG5842,CG14255","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,ER to Golgi vesicle-mediated transport,Secretion,sec24d lman1 rab2a trappc2l sec24c ,,"9871,3998,5862,51693,9632",,"CG10882,CG6822,CG3269,CG9067,CG10882",,,"CG10882,CG6822,CG3269,CG9067","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,secretion by cell,Secretion,sec24d lman1 erp29 rab2a rer1 baiap3 trappc2l scrn1 trpv6 dnajc1 unc13d cadps sec24c cog2 gbf1 srpr foxp3 ,,"9871,3998,10961,5862,11079,8938,51693,9805,55503,64215,201294,8618,9632,22796,8729,6734,50943",,"CG10882,CG6822,CG7225,CG3269,CG11857,CG32381,CG9067,CG10098,CG5842,CG7556,CG32381,CG18026,CG10882,CG6177,CG8487,CG2522,CG16899",,,"CG10882,CG6822,CG7225,CG3269,CG11857,CG32381,CG9067,CG10098,CG5842,CG7556,CG18026,CG6177,CG8487,CG2522,CG16899","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,transport vesicle,Secretion,cltb clta slc2a4 ap2b1 igf2r ,,,"74325,12757,20528,71770,16004",,"CG6948,CG6948,CG1086,CG12532,CG14255",,"CG6948,CG1086,CG12532,CG14255","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,clathrin adaptor complex,Secretion,ap1m2 ap2a1 ap1m1 ap2a2 ap1b1 ap2b1 ,,,"11768,11771,11767,11772,11764,71770",,"CG9388,CG31654,CG9388,CG31654,CG12532,CG12532",,"CG9388,CG31654,CG12532","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,secretion,Secretion,sec24d lman1 erp29 npr1 rab2a rer1 baiap3 trappc2l scnn1a atp6v0a4 scrn1 trpv6 dnajc1 amn unc13d cadps sec24c scnn1b scnn1g camk2g cog2 gbf1 srpr foxp3 ,,"9871,3998,10961,4881,5862,11079,8938,51693,6337,50617,9805,55503,64215,81693,201294,8618,9632,6338,6340,818,22796,8729,6734,50943",,"CG10882,CG6822,CG7225,CG31183,CG3269,CG11857,CG32381,CG9067,CG4110,CG1709,CG10098,CG5842,CG7556,CG11592,CG32381,CG18026,CG10882,CG32792,CG4110,CG18069,CG6177,CG8487,CG2522,CG16899",,,"CG10882,CG6822,CG7225,CG31183,CG3269,CG11857,CG32381,CG9067,CG4110,CG1709,CG10098,CG5842,CG7556,CG11592,CG18026,CG32792,CG18069,CG6177,CG8487,CG2522,CG16899","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,AP-type membrane coat adaptor complex,Secretion,ap1m2 ap2a1 ap1m1 ap2a2 ap1b1 ap2b1 ,,,"11768,11771,11767,11772,11764,71770",,"CG9388,CG31654,CG9388,CG31654,CG12532,CG12532",,"CG9388,CG31654,CG12532","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
GO,cytoplasmic vesicle,Secretion,ap1m2 cltb sec24d ap1m1 erp29 rab2a atp6v0a1 slc32a1 taok2 nap1l1 slc2a4 spaca3 prdx6 igf2r cadps ctsb gad2 sec24c slc2a1 dll1 trpv2 clta ptpn23 ,,"10053,1212,9871,8907,10961,5862,535,140679,9344,4673,6517,124912,9588,3482,8618,1508,2572,9632,6513,28514,51393,1211,25930",,"CG9388,CG6948,CG10882,CG9388,CG7225,CG3269,CG1709,CG8394,CG14217,CG5330,CG1086,CG1180,CG3083,CG14255,CG18026,CG10992,CG7811,CG10882,CG1086,CG3619,CG5842,CG6948,CG9311",,,"CG9388,CG6948,CG10882,CG7225,CG3269,CG1709,CG8394,CG14217,CG5330,CG1086,CG1180,CG3083,CG14255,CG18026,CG10992,CG7811,CG3619,CG5842,CG9311","CG10882,CG6822,CG3269,CG11857,CG9067,CG6177,CG8487,CG2060,CG4772,CG1086,CG3006,CG8732,CG7556,CG2151,CG6948,CG14255,CG9388,CG31654,CG4109,CG4799,CG14214,CG5183,CG12334,CG12532,CG9350,CG18026,CG32381,CG10098,CG2522,CG5842,CG10992,CG7225,CG1709,CG8394,CG14217,CG5330,CG1180,CG16899,CG31183,CG4110,CG11592,CG32792,CG18069,CG3083,CG7811,CG3619,CG9311",47
C2,ANDROGEN_AND_ESTROGEN_METABOLISM,Steroid metabolism,"UGT2B4,UGT2B15,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3","Ugt1a1,Ugt1a10,Ugt1a5,Ugt1a9","7363,7366,54575,54576,54577,54578,54579,54600,54657,54658,54659","394436,394430,394433,394434","CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772","CG4772,CG4772,CG4772,CG4772",,CG4772,CG4772,1
KEGG,Androgen and estrogen metabolism,Steroid metabolism,,,"10720,10941,54490,54575,54576,54577,54578,54579,54600,54657,54658,54659,7363,7364,7366,7367,79799","22236,22238,394430,394432,394433,394434,394435,394436,552899,71773,72094,94215,94284","CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772","CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772,CG4772",,CG4772,CG4772,1
KEGG,TGF beta signaling,TGF β signaling,,,"1311,1387,1874,1875,2033,4086,4090,4091,4092,4093,5515,5516,5518,5519,6198,6199,6500,7057,7058,7059,7060","104394,12845,12914,13559,17125,17129,17130,17131,19052,19053,21402,21825,21826,21827,21828,328572,51792,55994,58988,72508,73699","CG11326,CG15319,CG1071,CG1071,CG15319,CG12399,CG12399,CG5201,CG5201,CG12399,CG7109,CG7109,CG17291,CG17291,CG4006,CG4006,CG8881,CG11326,CG11326,CG11326,CG11326","CG1071,CG11326,CG15319,CG1071,CG12399,CG12399,CG5201,CG5201,CG7109,CG7109,CG8881,CG11326,CG11326,CG11326,CG11326,CG15319,CG17291,CG12399,CG4006,CG4006,CG17291","CG12399,CG15319,CG17291,CG8881,CG5201,CG7109","CG11326,CG15319,CG1071,CG12399,CG5201,CG7109,CG17291,CG4006,CG8881","CG11326,CG15319,CG1071,CG12399,CG5201,CG7109,CG17291,CG4006,CG8881,CG2248",10
C2,TGFBETA_C4_UP,TGF β signaling,"RAC1,THBS1,THBS2","Rac1,Thbs1,Thbs2","5879,7057,7058","19353,21825,21826","CG2248,CG11326,CG11326","CG2248,CG11326,CG11326",,"CG2248,CG11326","CG11326,CG15319,CG1071,CG12399,CG5201,CG7109,CG17291,CG4006,CG8881,CG2248",10
C2,TNFA_NFKB_DEP_UP,TNF alpha,"NFKB1,NFKB2,PLK2","Nfkb1,Nfkb2,Plk2,Relb","4790,4791,10769","18033,18034,20620,19698","CG11992,CG11992,CG12306","CG11992,CG11992,CG12306,CG6667",,"CG11992,CG12306,CG6667","CG11992,CG12306,CG6667,CG9032,CG3936,CG4183,CG13830,CG10691,CG17291,CG9868,CG2925",11
C2,TNFALPHA_ALL_UP,TNF alpha,"ATP5E,FBN1,HSPB1,IGFBP5,NFKB1,PHB,PPP2R1A,PSMB8,SF3A3","Atp5e,Fbn1,Hspb1,Igfbp5,Nfkb1,Phb,Ppp2r1a,Psmb8,Sf3a3","514,2200,3315,3488,4790,5245,5518,5696,10946","67126,14118,15507,16011,18033,18673,51792,16913,75062","CG9032,CG3936,CG4183,CG13830,CG11992,CG10691,CG17291,CG9868,CG2925","CG9032,CG3936,CG4183,CG13830,CG11992,CG10691,CG17291,CG9868,CG2925",,"CG9032,CG3936,CG4183,CG13830,CG11992,CG10691,CG17291,CG9868,CG2925","CG11992,CG12306,CG6667,CG9032,CG3936,CG4183,CG13830,CG10691,CG17291,CG9868,CG2925",11
KEGG,Wnt signaling pathway ,Wnt signaling,,,"1387,144165,1460,1487,1488,166336,2033,2535,5515,5516,5518,5519,5534,5879,5880,5881,595,6477,6500,7483,7484,815,816,817,818,8321,8324,894,896","106042,108058,12322,12323,12325,12443,12444,12445,12914,13001,13016,13017,14362,14369,170758,19052,19053,19058,19353,19354,20437,20438,21402,216795,22412,243548,328572,51792,57265,73699","CG15319,CG12833,CG8914,CG7583,CG7583,CG12833,CG15319,CG17697,CG7109,CG7109,CG17291,CG17291,CG14353,CG2248,CG2248,CG2248,CG9096,CG9949,CG8881,CG4698,CG4698,CG18069,CG18069,CG18069,CG18069,CG17697,CG17697,CG9096,CG9096","CG12833,CG18069,CG18069,CG18069,CG18069,CG9096,CG9096,CG9096,CG15319,CG8914,CG7583,CG7583,CG17697,CG17697,CG2248,CG7109,CG7109,CG14353,CG2248,CG2248,CG9949,CG9949,CG8881,CG4698,CG4698,CG12833,CG15319,CG17291,CG17697,CG17291","CG15319,CG17291,CG17520,CG2248,CG8384,CG8881,CG9096,CG9949,CG18069,CG7109,CG8914","CG15319,CG12833,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9096,CG9949,CG8881,CG4698,CG18069,CG17520,CG8384","CG15319,CG12833,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9096,CG9949,CG8881,CG4698,CG18069,CG17520,CG8384,CG8440,CG5643,",18
C2,ST_WNT_CA2_CYCLIC_GMP_PATHWAY,Wnt signaling,"CAMK2A,CAMK2B,CAMK2D,CAMK2G","Camk2a,Camk2b,Camk2d,Camk2g","815,816,817,818","12322,12323,108058,12325","CG18069,CG18069,CG18069,CG18069","CG18069,CG18069,CG18069,CG18069",,CG18069,"CG15319,CG12833,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9096,CG9949,CG8881,CG4698,CG18069,CG17520,CG8384,CG8440,CG5643,",18
C2,WNT_SIGNALING,Wnt signaling,"CCND1,CCND2,CCND3,FZD2,PAFAH1B1,PPP2R5C,PPP2R5E,RAC1,FZD1,FZD7","Ccnd1,Ccnd2,Ccnd3,Fzd1,Fzd2,Fzd7,Pafah1b1,Ppp2r5c,Ppp2r5e,Rac1","595,894,896,2535,5048,5527,5529,5879,8321,8324","12443,12444,12445,14362,57265,14369,18472,26931,26932,19353","CG9096,CG9096,CG9096,CG17697,CG8440,CG5643,CG5643,CG2248,CG17697,CG17697","CG9096,CG9096,CG9096,CG17697,CG17697,CG17697,CG8440,CG5643,CG5643,CG2248",,"CG9096,CG17697,CG8440,CG5643,CG2248","CG15319,CG12833,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9096,CG9949,CG8881,CG4698,CG18069,CG17520,CG8384,CG8440,CG5643,",18
C2,HSA04310_WNT_SIGNALING_PATHWAY,Wnt signaling,"CCND1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND2,CCND3,CREBBP,CSNK2B,CTBP1,CTBP2,EP300,FZD2,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP3R1,RAC1,RAC2,RAC3,SIAH1,SKP1,WNT9A,WNT9B,FZD1,FZD7,PRICKLE1,PRICKLE2","Camk2a,Camk2b,Camk2d,Camk2g,Ccnd1,Ccnd2,Ccnd3,Crebbp,Csnk2b,Ctbp1,Ctbp2,Ep300,Fzd1,Fzd2,Fzd7,Ppp2ca,Ppp2cb,Ppp2r1a,Ppp2r1b,Ppp3r1,Prickle1,Prickle2,Rac1,Rac2,Rac3,Wnt9a,Wnt9b","595,815,816,817,818,894,896,1387,1460,1487,1488,2033,2535,5515,5516,5518,5519,5534,5879,5880,5881,6477,6500,7483,7484,8321,8324,144165,166336","12322,12323,108058,12325,12443,12444,12445,12914,13001,13016,13017,328572,14362,57265,14369,19052,19053,51792,73699,19058,106042,243548,19353,19354,170758,216795,22412","CG9096,CG18069,CG18069,CG18069,CG18069,CG9096,CG9096,CG15319,CG8914,CG7583,CG7583,CG15319,CG17697,CG7109,CG7109,CG17291,CG17291,CG14353,CG2248,CG2248,CG2248,CG9949,CG8881,CG4698,CG4698,CG17697,CG17697,CG12833,CG12833","CG18069,CG18069,CG18069,CG18069,CG9096,CG9096,CG9096,CG15319,CG8914,CG7583,CG7583,CG15319,CG17697,CG17697,CG17697,CG7109,CG7109,CG17291,CG17291,CG14353,CG12833,CG12833,CG2248,CG2248,CG2248,CG4698,CG4698",,"CG9096,CG18069,CG15319,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9949,CG8881,CG4698,CG12833","CG15319,CG12833,CG8914,CG7583,CG17697,CG7109,CG17291,CG14353,CG2248,CG9096,CG9949,CG8881,CG4698,CG18069,CG17520,CG8384,CG8440,CG5643,",18
